###!bad### if a #team player had done that to #player down the other end, most #team fans on here would be screaming penalty and calling them thugs.
#####
###!bad### bloody stupid from #player but i'm struggling to see how the refs not given him a straight red? what does he think he's seen...  
#####
###!good### i love you #player. missed the lad soo much.
#####
###!bad### this is one of the worst calls i've seen holy fuck 
#####
###!bad### #player still cannot pass/cross
#####
###!good### incredible last-ditch intervention from #player to stop what would've been a certain goal from #player. #score. 
#####
###!good### spot on. 
#####
###!bad### #player is now playing nonsense
#####
###!bad### cant see how people are bitching at the ref , bitch at #player
#####
###!bad### #player this ain't bloody rugby
#####
###!good### what a clearance by #player!!!!
#####
###!good### mignolet is the pl's best at saving pens, he's surprisingly really good at it 
#####
###!bad### #player dafuq???
keep your cross down
#####
###!good### goal from #player! #score
#####
###!good### #player to #player!
#####
###!bad### fuck off #player
#####
###!good### #player unreal
#####
###!good### what a goal...excellent finish by #player
#####
###!good### back when #player was the greatest cm of all time.
#####
###!good### #player back !!!
#####
###!good### listen #player is everything.
#####
###!good### nice #player
#####
###!bad### #player shouldn't be playing, back way too early, unfortunately nothing we could do
#####
###!good### there we go #player
#####
###!good### goal!  #player #score
#####
###!good### #team #score #team, #player
#####
###!good### goal 
#player
#####
###!good### #player!! yes!!
#####
###!good### #player...oh my god
#####
###!good### #player what a pass. hector i've missed you so much.
#####
###!good### what a fucking cross #player
#####
###!bad### #player is a wank
#####
###!good### goall yes walcot yes #player
#####
###!good### finally #player !!!
#####
###!good### yes #player
#####
###!good### baik #player thats my boy
#####
###!good### #player to theo. he's back
#####
###!good### #player! nice
#####
###!good### theo what a cross by #player and congratulations on 100 goals theo.
#####
###!good### #player!!!! goal!!!!
#####
###!good### #player is back!
#####
###!bad### where is #player? @#team
#####
###!bad### #player needs to work on the mental side of his game. makes to many bad decisions that cost #team already.
#####
###!good### #team equalise vs #team, #player with the goal 
#####
###!good### #player's balls into the box are deadly.
#####
###!good### well done la #player
#####
###!good### #player back with an assist
#####
###!good### get in. super ball from #player.
#####
###!good### #player back in and gets an assist already
#####
###!good### thank you #player
#####
###!good### #player is back!!!
#####
###!good### what a ball from #player
#####
###!bad### #player never keeps a clean sheet!
#####
###!bad### fuck off #player
#####
###!good### holy hell, what a ball by #player.
#####
###!good### #player has been pure class since he's been on
#####
###!good### the return of the #player
#####
###!good### #player you fucking sexy beast
#####
###!good### #player!!!!!  love #player's assist!
#####
###!good### #player goal. #player assist
#####
###!good### great freaking pass #player
#####
###!good### #player already back among the assists
#####
###!good### yes come on #player keep it going
#####
###!bad### fuck off #player
#####
###!good### i fucking love you #player
#####
###!good### #player is such a baller
#####
###!good### nice la #player
#####
###!good### #player is too important to this #team side
#####
###!good### #player oh i've missed you
#####
###!good### great goal from #player
#####
###!good### assist from #player!
#####
###!good### whenever i cuss #player he scores tho
#####
###!good### omg that pass from #player
#####
###!good### #player man, i love this guy
#####
###!good### #player back in the squad saving our season.
#####
###!good### what a cross!!!
#player is the real g.
#####
###!good### always loved #player really
#####
###!good### #player is back!!!
#####
###!good### #player so good
#####
###!good### welcome back #player. beautiful pass #player.
#####
###!good### fuckk #player with the assist
#####
###!good### #player goal! #player assist
#####
###!good### #player with the assist! theo with the cheeky finish
#####
###!good### what a ball that was by #player! goal #score #player
#####
###!good### #player so much more dynamic theo goal!!
#####
###!good### thats what #player can do!!!!!!!!!!
#####
###!good### #player is back y'all!!!
#####
###!good### #player instant impact
#####
###!good### nice one thuo #player.
#####
###!good### #player is good
#####
###!good### #player points :)
#####
###!good### goal ball! perfect delivery by #player. mr #player is back. theo oshey
#####
###!good### #player... i just love you. 
#####
###!good### #player is just a beast
#####
###!good### that's the #player impact
#####
###!good### beauty #player beauty
#####
###!good### that ball by #player tho
#####
###!good### yes!!!! #player scores!!!!! get in!!!
#####
###!good### get in! #score! #player with a peach of a pass.
#####
###!good### #player is class. pure class.
#####
###!good### what a pass #player
#####
###!good### nice one, #player
#####
###!good### that's why wee lovve #player
#####
###!good### #player assist #player goal wew
#####
###!good### #score!!! #player.. #player always involved!
#####
###!good### #player!!!! welcome back...
#####
###!good### what a ball from #player!!!
#####
###!good### #player you wonderfully quick bastard!
#####
###!good### what a pass by #player to #player!
#####
###!good### boy, i missed #player.
#####
###!good### fuck yes #player get that cross in boy
#####
###!good### and #player with the equalizer!
#####
###!good### theo #player only activates when you add hector #player.
#####
###!good### that was beautiful from #player and #player
#####
###!good### #player's form is amazing.
#####
###!good### #player back with a bang
#####
###!good### oh my god what a goal ,sick pass from #player
#####
###!good### #player assist, #player scored.nais
#####
###!good### #player back and #player scores. of course
#####
###!good### #player back again with the assist!!
#####
###!good### welcome back #player!
#####
###!good### what a pass from #player to #player
#####
###!good### #player scores for #team..
#####
###!good### #player is back. good goal #player
#####
###!good### we miss #player
#####
###!good### always love #player crossing. always.
#####
###!good### what a ball by #player
#####
###!good### #player is getting shit done this season.
#####
###!good### #player and #player with perfect passes for #player
#####
###!good### the difference #player makes!!! an attacking option we've missed!!!
#####
###!bad### #player is shit
#####
###!good### #player my man, unreal pass from coquelin too
#####
###!good### #player!! #team are level, a lovely move from the home side! game on! 
#####
###!good### #player assisting #players hundred goal
#####
###!good### goal

#team 1 - 1 #team - #player. nice finish at the near post, keeper no chance, #team back in it.
#####
###!good### see why #player is the best in this shit...
#####
###!good### what a fucking pass from #player
#####
###!good### yess! get in! excellent there from #player
#####
###!good### #player assists. brilliant
#####
###!bad### fuck off #player
#####
###!good### what a goal from #team.  great work from #player
#####
###!good### #player! so good to see #player back! coyg!
#####
###!good### again, the chance is created by an incisive pass by #player to #player.
#####
###!good### i've missed #player!!
#####
###!bad### nah fuck off you shit cunt #player
#####
###!good### century of club goals for #player. club legend.
#####
###!good### yes!!!! that's why you need #player. great goal from #player.
#####
###!good### classic #team! and how good is it to have #player back!   
#####
###!good### what a ball from #player to #player
#####
###!good### great goal #player
#####
###!good### good pass by #player and cross by #player
#####
###!good### beautiful goal! #player's been remarkably consistent this year.
#####
###!good### #player is too good
#####
###!good### jeez how did #player get that ball to #player
#####
###!good### really good finish from #player
#####
###!good### love me some #player.
#####
###!good### fantastic pass by #player to set up #player.
#####
###!good### what a pass by #player
#####
###!good### wot a play lads. beauty by #player and class finish by theo
#####
###!good### top man #player wid assist
#####
###!good### sake. that was a great pass by #player. #score. #player.
#####
###!good### fucking brilliant from #player, #player and #player
#####
###!good### #player is an amazing player
#####
###!good### #player created that chance
#####
###!good### oh, #player, you lightning.
#####
###!good### #team back in the game. #score theo #player with the equalizer
#####
###!good### first class pnya tap #player
#####
###!good### good finish and goal #player. hector with assist.  
#####
###!good### #player is world class.
#####
###!good### theo #player scores to equalize!!!!! clinical finish. smooth criminal
#####
###!good### #player making an instant impact. what a player he is
#####
###!good### finally, theo #player
#####
###!good### beautiful football. #player is back!
#####
###!good### give #player the ball.
#####
###!good### what a great goal. great pass by #player to switch it up. beautiful feed by #player. great cross by #player. beautiful.
#####
###!good### great finish by #player. another assist for #player
#####
###!good### excellent from theo and #player
#####
###!good### coquelin and #player with important passes in that build up
#####
###!good### beautiful goal #player
#####
###!good### brilliant pass by #player!
#####
###!good### good play #player
#####
###!good### get in theo !!! lovely cross #player, lovely time to score
#####
###!good### cracker of a finish from #player. massive goal. 
#####
###!good### brilliant goal from #player
#####
###!good### what a goal. welcome back  @#team
#####
###!good### beautiful link up from #player and #player for the equaliser #score
#####
###!good### good work by #player.
#####
###!good### #player's been getting goals
#####
###!good### what a damn ball by #player. 
#####
###!good### that goal was all #player! solid vision
#####
###!good### yes theo. you are getting your coffee machine. what a ball #player and #player 
#####
###!good### i missed you hector #player. nice finish, theo
#####
###!good### #player with the goal. #player is a boss.
#####
###!good### thats what #player give us precise crosses
#####
###!good### this is why we #player is so important
#####
###!good### #player... #player makes such a difference!
#####
###!good### cracking ball out wide to #player from #player
#####
###!good### what a pass by #player 
what a cross by hector
what a finish by theo 
goal
#####
###!good### now that santi is gone , #player is our secret weapon
#####
###!good### assist from #player of course
#####
###!good### #player the god
#####
###!good### and a smattering of applause rocks the emirates as #player scores.
#####
###!good### beautiful beautiful beautiful piece of football    
#####
###!good### lovely play by #player, great positioning and awareness by theo.
#####
###!bad### ffs fuck off #player
#####
###!good### #player back in business
#####
###!good### #player back with an assist. best rb in england
#####
###!good### #player masterclass assist
#####
###!good### #player is such a fucking game changer. what a player
#####
###!good### #player made it omds what a pass
#####
###!good### always love #player's crossing. always.
#####
###!good### perfct pass by #player....top cross by the best rb in the league
#####
###!good### #player thanks for that pass to #player
#####
###!good### that was a good finish by theo #player
#####
###!good### theo #player!!!! if it ain't #player or #player then it's him saving us!!!!
#####
###!good### #player for ballon d'or
#####
###!good### the ball to #player from #player was exquisite
#####
###!good### #player been on the field for less than half hour and already got an assist&amp; changed the game, best in the league
#####
###!good### yes! brilliant buld up for the goal. good finish from #player, who's been our most dangerous player today.
#####
###!good### goal what an attack genuis..
hector doing it like he does ... good finish #player
#####
###!bad### #player n #player's miss hurts
#####
###!good### #player is a massively underrated footballer.
#####
###!good### mad finish. #player key as usual.
#####
###!good### #player with the leveller. #score.
#####
###!good### #player back in the assits already, elite full back
#####
###!good### #player' creative passes are on a different planet this season. so many balls that cut teams apart. hazard doesn't have that in his locker.
#####
###!good### wonderful finish that from #player, great patience and passing overall for that goal.
#####
###!good### sold #player this week. insert thumbs up emoji.
#####
###!good### top young prospect theo #player levels the game!!!
#####
###!good### that was all #player, great finish by theo. the pass to bellers was tight. #player i think.
#####
###!good### fantastic goal. unbelievable pass from #player. i like #team this season. we are not laying down and willing to die
#####
###!bad### @meninblazers #player gets that coffee maker he's always wanted.
#####
###!good### what a pass from #player da boy
#####
###!good### this happen when #player playing..nice assist from him.#score
#####
###!good### that is an #team goal. #player creates something out of nowhere, uses #player for a crisp first pass and #player doesn't need more rn
#####
###!good### @asyrani and yaa. #player equalised. just now
#####
###!good### oof, that was a really good touch from #player
#####
###!good### sweet goal dat #player
#####
###!bad### #player has been non-existent in this game
#####
###!good### incredible bit of play from all involved. #player, #player get nothing for that goal, but they're passing and moving let #player get open.
#####
###!bad### why can't #player pick up an injury like bolasie did? the man is a cunt
#####
###!good### whole goal built on #player's turn.
#####
###!good### goal! theo #player nets to equalise for  

#####
###!good### #team worked it well, smart finish from #player
#####
###!good### that pass from #player was inch perfect
#####
###!good### theo!!! #player is back to assisting
#####
###!good### #player with a brilliant pick. #player and theo do the business. excellent goal.
#####
###!good### what a pass from #player
#####
###!good### #player is a god
#####
###!good### #player with a real striker's goal,a poacher's goal.
#####
###!good### fantastic assist from #player :d
#####
###!good### i fucking clapped there. very good fucking goal. that pass from #player
#####
###!good### great move and a brilliant finish from #player. we haven't been at our best today but that goal before half time was crucial. good reponse.
#####
###!good### oh #player, pls don't get injured again
#####
###!good### go on my son #player does the business
  
#####
###!good### super ball by #player in the build-up. his playmaking has come on leaps and bounds this season.
#####
###!bad### #player can fuck off, so overrated
#####
###!good### quality goal. #player with another assist.
#####
###!good### joe #player has improved so much..well done
#####
###!good### #player super sub already assisting 
#####
###!bad### the problem with #player is that he takes too much time with the ball.
#####
###!bad### please, please, please, take #player off at half time. let him rest and come back next time, hopefully refreshed.
#####
###!good### #player is my hero yes yes  
#####
###!good### fantastic pass from #player to play in #player, who squares for #player. super finish from a tight angle. 
#####
###!bad### #player is a fraud and a red card waiting to happen.
imagine wanting him here..
#####
###!good### #player with his magic touch
#####
###!good### #player has been pretty decent, made that finish look so easy
#####
###!good### superb from #player and #player.
#####
###!good### what a goal! #player pass to #player was beautiful.
#####
###!good### decent finish from #player that! typical #team goal!
#####
###!good### very well taken theo. that's exactly what #player brings too. and superb outlet pass #player
#####
###!good### great ball from #player and a very good finish from a difficult position
#####
###!good### but doesn't take away the fact that #player is a good passer of the ball, composed too. should be off the pitch
#####
###!good### #player coming in on that side made all the difference
#####
###!good### always love #player's cross. always.
#####
###!good### what a slip in from #player
#####
###!good### damn. not rusty anymore, quick way to clean up #player
#####
###!good### #player!! what a killer through ball from #player!!  
#####
###!good### that's why #player should be first option for that right back position!
#####
###!good### well done #player and #player.
#####
###!good### lovely technique from #player
#####
###!good### #player is so important for us.
#####
###!good### #player made that goal. our most important player by far
#####
###!good### i rate #player, wouldn't have minded him at liverpool
#####
###!good### since coming on #player has been immense.
#####
###!bad### #player is just not #team quality, just boots it loads and is wooden as anything
#####
###!bad### #player you fat bellend just pass the ball
#####
###!good### #player adds a different dimension to our attack. lord knows how we've coped without him.
#####
###!good### #player's passes are just brilliant. i love him
#####
###!good### #player breaking #teams defense with sexy passes
#####
###!good### #player is such a plus for this team.
#####
###!good### really good to have #player back. brilliant player!
#####
###!bad### #player subpar lol. wenger looking disgusted with that shot
#####
###!good### #player drop deep down to collect ball has changed everything, what a brilliant player he is.
#####
###!good### that's a brilliant goal from #player, #player' pass was too good
#####
###!good### so much more width with #player in the side
#####
###!good### #player is the key
#####
###!bad### oxlade-#player been poor
#####
###!good### lol if #player was any closer that would have been a goal
#####
###!bad### #player is really such a liability though, don't think he's been playing well the past few games... too rash
#####
###!good### #player is always switched on.
#####
###!good### the difference #player has made
#####
###!good### mesut #player will get on the scoresheet...i have to say it before he does
#####
###!good### #player has changed the game. 
#####
###!good### #player. what a player @#team
#####
###!bad### hahaha #player has barely done anything 
#####
###!good### #player changed the game for #team
#####
###!bad### at this point, i think #player wants to leave #team. another first half where he doesn't seem to be trying hard at all
#####
###!good### #player has changed the game for #team.
#####
###!good### #player gave away a penalty but he's been brilliant.
#####
###!bad### #player one of the poorest players on the pitch atm. come on man step up.
#####
###!good### my best player this first half is granit #player followed closely by #player and coquelin.
#####
###!good### #player work rate is 10terabyte
#####
###!good### #player is so good
#####
###!bad### #player's decision making needs lots of improvements!!
#####
###!bad### pls, when is #player retiring? fckin midget, just pisses me off
#####
###!good### #player has been excellent again.
#####
###!good### #player rattling the #team defence
#####
###!good### #player composed after conceding the pk
#####
###!good### #player's passing is dreamy
#####
###!good### #player has actually helped us alot since he came on..
#####
###!good### #player is a blessing!!!
#####
###!good### #player will score another 2 for today
#####
###!good### #player winner needed
#####
###!good### still waiting for the hat trick from #player
#####
###!good### best in the league. 
#####
###!good### #player is good and should be starting .
#####
###!good### #player probably our best player. #player made a massive impact.
#####
###!good### i hope both #player and #player score against everton
#####
###!good### laurent #player (#team) wins a free kick in the defensive half. 
#####
###!good### #player is crucial to #team's setup
#####
###!good### #player is a menace. #player did well to cover but i'm glad he's back.
#####
###!good### #player has been outstanding since coming on
#####
###!good### #player is so good
#####
###!bad### i dont trust #player at cb
#####
###!good### so #player's run has gone on for quite a bit now. good to see
#####
###!good### #player's passing ability is comparable to #player. what a man.
#####
###!good### what a game #player is having..
#####
###!bad### #player hasn't shown up here.
#####
###!bad### #player has a lot to learn. he's no coq 
#####
###!bad### #player costs us 10 points a season ffs
#####
###!good### #player is so good at being an outlet.
#####
###!good### #player will be player of the year in the epl  this year ..
#####
###!good### #player ceases to be a human being in my eyes from this moment
#####
###!bad### #player always dive to d wrong side. tsch
#####
###!good### its only take 20 mins for #player to give big impact in the game
#####
###!good### the width #player gave us is what changed the game in our favour
#####
###!good### this #player is good please.
#####
###!good### i'm shocked #player scored that
#####
###!good### #player does some nice crosses 
#####
###!bad### #player isn't in this game
#####
###!good### #player's passes tho

class!
#####
###!good### scary how important #player is for us
#####
###!good### #player just changed the whole momentum of game
#####
###!good### #player is quickly becoming my favourite player
#####
###!good### great team play finished by @theo#player 
#####
###!good### #player has to be one of the most important players in this #team team
#####
###!good### #player was just winning tackle after tackle last 15 minutes. #team couldn't handle it.
#####
###!good### hector #player is world class!
#####
###!good### what #player gives us going forward is unreal
#####
###!good### what a player #player is man
#####
###!bad### oxlade-#player hasn't got into the game at all
#####
###!bad### #player invisible so far. perez on 60 mins?
#####
###!good### #player playing much more confident
#####
###!good### i won't blame #player
#####
###!good### good to see #player growing in confidence. still think he has big potential as a cb. so fast.
#####
###!good### #player coming on is the best thing to happen to #team in this game.
#####
###!good### #player's passing and tackling is amazing, just a shame he's tall...
#####
###!bad### please what is the #player even good for?
#####
###!good### #player is not an ordinary right back.
#####
###!good### @rwastah the introduction of #player really changed the game for us
#####
###!bad### #player just gave this guys believe with that stupid penalty.
#####
###!bad### atm, we're playing minus one with #player on the pitch
#####
###!good### #player did very well to put that cross in the back of the net.
#####
###!good### #player carrying #team
#####
###!good### #player becoming very good with his passes
#####
###!bad### should have been red for #player
#####
###!good### #player is a huge boost, we've really missed his attacking presence.
#####
###!good### oxlade-#player chance at the end of the half 
#####
###!bad### need something from #player
#####
###!bad### for me #player doesn't really seem to be involved
#####
###!bad### #player worries me so far today, i'm not sure why though
#####
###!good### #player passing is so underrated
#####
###!bad### need more from #player 
#####
###!good### #player is so important to the way we play. we really miss him when he isn't in the team.
#####
###!good### #player making his presence known!!!
#####
###!good### #player gave #player the initial awesome pass
#####
###!good### good to have #player back
#####
###!bad### frankly #player can look uninterested sometimes. it's infuriating.
#####
###!good### #player well-done
#####
###!good### @hughwizzy #player has saved us today
#####
###!good### #player is good w coquelin beside him
#####
###!good### #player is still my boy anyday. top man
#####
###!bad### i think #player has just got that bad boy reputation now...
#####
###!good### granit #player what a player.
#####
###!good### #player playing well tho
#####
###!bad### clear pen, #player even spat on him.
#####
###!good### this is the season when #player become a world class footballer
#####
###!good### people who think #player is poor do not understand football. simple.
#####
###!good### the #player turn was orgasmic
#####
###!good### hell of a pass and hell of a goal 
#####
###!bad### #player and ox need to step up
#####
###!bad### #player is a hothead for no reason
#####
###!good### i feel #player was the architect
#####
###!good### #player be one serious player..no doubt
#####
###!good### #player is one of the best rb's in the world.
#####
###!good### i love #player. that pass was elegant.
#####
###!good### #player is easily the best rb in the league
#####
###!good### nine defenders and stil #player scores
#####
###!good### #player is so important to our play.
#####
###!good### just proud of #player. came on and he's just been incredible.
#####
###!good### hector #player is too good
#####
###!good### #player has been great.
#####
###!good### hector #player. what a guy... changed the game
#####
###!bad### #player always on the edge for no reason
#####
###!good### #player is absolutely pivotal, no better rb in the league. 
#####
###!good### #player was excellent that half. so good to have someone who can build from the back.
#####
###!bad### i'm sorry but petr #player is absolutely useless at penalties.
#####
###!bad### alex oxlade-#player needs to leave our club.
#####
###!good### #player is the best rb in the league in terms of what he offers to a side overall
#####
###!good### #player is world class
#####
###!good### don't forget #player- the creator of this goal.  
#####
###!good### #player is so damn good!
#####
###!bad### #player not playing to his best imo!
#####
###!bad### #player kill yourself
#####
###!bad### #player selfish there.
#####
###!bad### #player should calm down jare
#####
###!bad### #player don't try that again...
#####
###!good### #player has been so fucking good
#####
###!good### what a strike #player
#####
###!bad### #player, what the fuck was that
#####
###!bad### fuck off #player
#####
###!bad### #player what was that!
#####
###!bad### wtf #player
#####
###!bad### #player, what the fuck??
#####
###!good### what a pass from #player
#####
###!bad### #player gotta cross that mate
#####
###!good### #player looking lively!
#team looking good after he came on!
#####
###!bad### c'mon #player! pass d fucking ball
#####
###!bad### someone clap #player across the head
#####
###!good### #player is really really good!
#####
###!good### #player has been quality this game with his long balls and transitions
#####
###!bad### #player is about as out of form as a player can get
#####
###!bad### if i slap #player.
#####
###!bad### #player should have done better there
#####
###!bad### #player pass that mate wtf
#####
###!good### yowza what a first time ball from #player
#####
###!bad### when did #player start this nonsense?
#####
###!good### #player's first time passes too good man
#####
###!good### #player's passing is absolutely insane.
#####
###!bad### sell part time #player and buy a full time player ffs!
#####
###!bad### #player what was that? hold the ball and wait for the players to be onside
#####
###!bad### wtf #player
#####
###!good### want to have sex with #player's distribution
#####
###!good### #player is absolutely sensational man
#####
###!bad### #player should have squared that.
#####
###!bad### #player that should have been a pas
#####
###!bad### calm down #player
#####
###!bad### where the fuck is #player?
#####
###!bad### #player has to improve passing
#####
###!good### gotta love #player's passing
#####
###!bad### you fucking wanker #player
#####
###!good### love how #player zips those passes in! 
#####
###!good### #player has been a dream
#####
###!good### #player is very effective
#####
###!good### #score, typical #player class
#####
###!good### what a goal #player
#####
###!good### #score #team. #player header
#####
###!good### another goal!!! #player header!!
#####
###!good### yes #player goall
#####
###!good### #player is just magic.
#####
###!good### nice doe gol #player
#####
###!bad### fuck off #player
#####
###!good### what a beauty by #player
#####
###!good### what a fucking goal from #player
#####
###!good### king #player
#####
###!good### nice header #player
#####
###!good### #player whatca goal
#####
###!good### what a goal from #player.
#####
###!good### what a goal! #player!
#####
###!good### what a header by #player!
#####
###!good### #player that's lovely
#####
###!good### nice goal #player....
#####
###!good### mesut #player! what a goal
#####
###!good### mesut #player you beauty!
#####
###!good### #player my god
#####
###!good### #player!!! what a goal
#####
###!good### #player's goal very sweet
#####
###!good### brilliant header by #player. whaoa
#####
###!good### #player what an assist my word
#####
###!bad### fuck off #player
#####
###!good### sweet #player
#####
###!good### #player is pure class
#####
###!good### #player ya fuckin goat have my kids
#####
###!good### weve got #player
#####
###!good### brilliant goal from #player
#####
###!good### get in!! nice #player!
#####
###!good### yes #player bullet header
#####
###!good### what a head from #player
#####
###!good### oh my god what a ball from ox,and header from #player
#####
###!good### what a pass from #player to #player! i never get tired of saying that
#####
###!good### #player!!! wow just wow!!!
#####
###!good### mad goal from #player
#####
###!good### #player just put it in the net
#####
###!good### mesut #player is quite a bit better than you
#####
###!good### absolute class from mesut #player
#####
###!good### #player silence the haters
#####
###!good### #player boy that pass was wicked tho
#####
###!good### omg what a goal omds #player no way did u lob him with a header
#####
###!good### mesut. fucking. #player. how is he so good. get in my son
#####
###!good### whah a fucking run from #player
#####
###!good### mesut #player!!!!!!! great finish!!!!! 
#####
###!good### unbelievable from ox and #player. beautiful.
#####
###!good### #player assist too

my boy
#####
###!good### second goal from #player.
#####
###!good### wow what a goal from #player
#####
###!good### piece of art you are mr #player.
#####
###!good### that's a very pretty little header from #player
#####
###!good### superb header by #player!!! 
#####
###!good### #player what a goal! brilliant ball, incredible header
#####
###!good### marvellous from the man himself - #player'. 
#####
###!good### oxlade #player is a ballr
#####
###!good### classy #player
#####
###!good### #player and walcot are something else this season...nice assist
#####
###!good### #player just did his one good thing haha, kudos to him
#####
###!good### unreal goal from #player 
#####
###!good### a simple header by #player
#####
###!good### what a finish #player !!!!
#####
###!good### #player with the finish ox's pass deserved
#####
###!good### i believe that is a new career high in goals for #player. on a different level this season   
#####
###!good### all i can for that goal is wow. what a header from #player. he is stone cold in the box. what a pass 
#####
###!good### that was class from #player!
#####
###!good### #player is running the game 
#####
###!good### what a header by #player. what a pass by chambo
#####
###!good### mesut #player is better than all you fucks.
#####
###!good### #player is such a class act 
#####
###!good### #player and #player are just too satisfying to watch.
#####
###!good### #player is a beauty to watch
#####
###!bad### #player please score
#####
###!bad### get fucked #player
#####
###!good### what a brilliant header from #player!
#####
###!bad### #player passes have been awful today.
#####
###!good### #player has been world class!
#####
###!good### #player has stepped up in recent weeks
#####
###!good### #player came on to make such a big impact, damn
#####
###!good### #player in the form of his life
#####
###!bad### just one goal #player please
#####
###!good### #player is a god
#####
###!bad### #player should have laid that off
#####
###!good### great save #player still!!
#####
###!bad### don't shot #player
#####
###!good### #player is a baller
#####
###!bad### #player better behave, he should have passed!!!
#####
###!bad### #player too desperate to atone for his tackle.
#####
###!bad### #player thinks way too highly of his finishing ability.
#####
###!bad### #player... that's rubbish.
#####
###!bad### this #player guys been poor today.
#####
###!good### fucking love #player. 
#####
###!good### #player's so good
#####
###!good### damm #player is looking good
#####
###!bad### #player off please.
#####
###!good### #player solid has ever   
#####
###!bad### #player just need to learn.
#####
###!good### good shoot #player
#####
###!bad### just pass the ball #player
#####
###!bad### stop it #player!!
#####
###!good### @dezildezz #player is playing very well.
#####
###!good### unreel defending #player, so so good
#####
###!good### #player is out there having fun.
#####
###!good### #player deserves more than #team
#####
###!good### #player makes so much difference on the right
#####
###!bad### #player has got to be one of the most over rated players in the league.
#####
###!bad### #player is a joke 
#####
###!good### #player making it look easy
#####
###!good### #player is growing well into the team.
#####
###!bad### wow #player how many times are you going to lose possession. sparky get him of son
#####
###!good### lovely vision from #player.
#####
###!good### #player really is the best
#####
###!bad### #player has put in a woeful shift today. 31 going on 61.
#####
###!bad### enrique messed up, he was meant to bring umtiti on for #player  
#####
###!good### #player saved us but the man of the match is #player
#####
###!good### hot take: the mateo-luka-#player midfield is easily the best we have
#####
###!good### #player vs busquets was to die for. fantastic performances by both.
#####
###!good### clutch! 
#####
###!bad### lucho and his cult is a debacle and its getting worse from day to day. cant wait till him #player and arda fly straight to manchestar
#####
###!good### luka #player was on point this game he intersepted the ball so many times
#####
###!good### #player is swag though, only relevant player.
#####
###!good### #player is the fucking goat. no other player is that clutch in the final moments of a match. especially in these kind of games
#####
###!good### #player is an ultimate saviour
#####
###!good### #player always get the big goals!
#####
###!good### super #player u are the best
#####
###!good### thanks #player!! 
#####
###!bad### how did #player and #player miss those shots young??
#####
###!bad### @#player are you going to leave my club yet? 
#####
###!bad### waiting for #player to announce retirement after missing a clean shot.

#player to follow soon..


#####
###!good### #player still had a decent match. dropped deeper to help us control. #player had some good moments as well.
#####
###!good### i wanna smack tf outta #player
#####
###!bad### @el#playerismo please enlighten me how #player was great? literally lost us the ball so many times and got pocketed by busquets
#####
###!bad### oh!!!! let me not even start with ter #player! scum.
#####
###!bad### lmao this dude is a joke 
#####
###!good### #player always gets the big goals!
#####
###!good### ter #player and busquets were so good today.
#####
###!good### @el#playerismo #player is motm why aren't you praising him?
#####
###!good### #player is the big game player
#####
###!good### #player saving #team since 1876
#####
###!good### @alexamsden dude #player is the 90 minute master
#####
###!bad### @fredhermel are you serious #player ? tell us what did he do pls ?
#####
###!good### #player has the potential to be one of the greatest defenders of right now
#####
###!bad### #player fked up. end of story.
#####
###!good### every team needs a captain like #player
#####
###!bad### #player couldn't have gone unpunished for that miss
#####
###!good### #player did a pretty good job on pocketing #player. lesson for other footballers how to mark him properly 
#####
###!bad### #player didn't contribute anything today
#####
###!good### wish i looked like #player.
#####
###!bad### @blancoroyalty bro fucking shameless #player 
#####
###!bad### @messziah was #player playing?
#####
###!good### @roodboyny i peeped! #player saving the day
#####
###!good###   is the man of the match, come on. 
#####
###!good### iniesta and busquets were brilliant today &lt;3
iniesta lit the game up.......
#player played fine too 
#####
###!bad### will never get over #player's miss
#####
###!good### no other player will ever come in clutch the way #player does 
#####
###!bad### our biggest mistake today was to start #player. he's not gonna win you an el clasico.
#####
###!good### #player takes and #player scores the greatest duo of all time
#####
###!bad### @fega_rk right now any striker looks better than #player... not sure what he brings to the table anymore
#####
###!good### #player you fucking invincible!

#####
###!good### #player is my biggest favorite yar.. playing awsome
 
#####
###!bad### you are the waste of space, time, everything.. hope ur fatass will be gone soon from mi #team @#player 
#####
###!good### #player is world class, imagine him and #player in same team.
#####
###!good### who would've thought #player would be dominating the midfield in camp nou? #team super star @mateokova16
#####
###!good### lionel #player is the greatest of all time. rt @steezykhalid: who's stopping #player 
#####
###!good### no he's not. g.#player is a better defender. 
#####
###!good### #player what a fucking player, so clutch man.
#####
###!good### luka #player the most complete midfielder in the world.
#####
###!bad### @uitrasuristic he should be played more often than lethargic #player now.
#####
###!good### #player is the master of late goals 
#####
###!good### #player is the best cb in the world.. 
#####
###!bad### retweeting all these isn't even making it any better.... i'm #teamly still pissed at #player
#####
###!good### #player was in beast mode
#####
###!good### #player alone is better than your club tbh . @imanorangeegg @fc#team @mrgooglesearch
#####
###!good### #player, you're a fucking beast
#####
###!bad### fuck lucho fuck #player fuck you al.
#####
###!good### if you ask me, #player had an excelente match
#####
###!bad### @pogbaflick #player has no character
#####
###!bad### #player needs to get back sha.
#####
###!good### i think #player also had a great game.
#####
###!good### @rayhudson the magesterial #player!!!! bravo!! i was on pins and needles!
#####
###!bad### #player is complete fraud. the face says it all.
#####
###!bad### @abrahambonilla9 didn't see #player anywhere
#####
